typ;utförande;tjocklek_mm;bredd_mm;hållfasthetsklass;sorteringsklass;längd_mm;källa
tvärsnitt;sågat;63;125;;;;https://www.svenskttra.se/trafakta/allmant-om-tra/kvalitet-och-sortiment/virkessortiment/
tvärsnitt;sågat;63;150;;;;https://www.svenskttra.se/trafakta/allmant-om-tra/kvalitet-och-sortiment/virkessortiment/
tvärsnitt;sågat;63;175;;;;https://www.svenskttra.se/trafakta/allmant-om-tra/kvalitet-och-sortiment/virkessortiment/
tvärsnitt;sågat;63;200;;;;https://www.svenskttra.se/trafakta/allmant-om-tra/kvalitet-och-sortiment/virkessortiment/
tvärsnitt;sågat;63;225;;;;https://www.svenskttra.se/trafakta/allmant-om-tra/kvalitet-och-sortiment/virkessortiment/
tvärsnitt;sågat;75;75;;;;https://www.svenskttra.se/trafakta/allmant-om-tra/kvalitet-och-sortiment/virkessortiment/
tvärsnitt;sågat;75;150;;;;https://www.svenskttra.se/trafakta/allmant-om-tra/kvalitet-och-sortiment/virkessortiment/
tvärsnitt;sågat;75;175;;;;https://www.svenskttra.se/trafakta/allmant-om-tra/kvalitet-och-sortiment/virkessortiment/
tvärsnitt;sågat;75;200;;;;https://www.svenskttra.se/trafakta/allmant-om-tra/kvalitet-och-sortiment/virkessortiment/
tvärsnitt;sågat;75;225;;;;https://www.svenskttra.se/trafakta/allmant-om-tra/kvalitet-och-sortiment/virkessortiment/
tvärsnitt;sågat;100;100;;;;https://www.svenskttra.se/trafakta/allmant-om-tra/kvalitet-och-sortiment/virkessortiment/
tvärsnitt;sågat;100;200;;;;https://www.svenskttra.se/trafakta/allmant-om-tra/kvalitet-och-sortiment/virkessortiment/
tvärsnitt;sågat;125;125;;;;https://www.svenskttra.se/trafakta/allmant-om-tra/kvalitet-och-sortiment/virkessortiment/
tvärsnitt;sågat;150;150;;;;https://www.svenskttra.se/trafakta/allmant-om-tra/kvalitet-och-sortiment/virkessortiment/
hållfasthetsklass;;;;C14;T0;;https://www.svenskttra.se/trafakta/allmant-om-tra/kvalitet-och-sortiment/
hållfasthetsklass;;;;C18;T1;;https://www.svenskttra.se/trafakta/allmant-om-tra/kvalitet-och-sortiment/
hållfasthetsklass;;;;C24;T2;;https://www.svenskttra.se/trafakta/allmant-om-tra/kvalitet-och-sortiment/
hållfasthetsklass;;;;C30;T3;;https://www.svenskttra.se/trafakta/allmant-om-tra/kvalitet-och-sortiment/
hållfasthetsklass;;;;C35;;;https://www.svenskttra.se/trafakta/allmant-om-tra/kvalitet-och-sortiment/
längd;;;;;;3000;docs/Kravbild.docx (antagande: 3,0–5,4 m i 300 mm-steg; Svenskt Trä anger inga handelslängder)
längd;;;;;;3300;docs/Kravbild.docx (antagande: 3,0–5,4 m i 300 mm-steg; Svenskt Trä anger inga handelslängder)
längd;;;;;;3600;docs/Kravbild.docx (antagande: 3,0–5,4 m i 300 mm-steg; Svenskt Trä anger inga handelslängder)
längd;;;;;;3900;docs/Kravbild.docx (antagande: 3,0–5,4 m i 300 mm-steg; Svenskt Trä anger inga handelslängder)
längd;;;;;;4200;docs/Kravbild.docx (antagande: 3,0–5,4 m i 300 mm-steg; Svenskt Trä anger inga handelslängder)
längd;;;;;;4500;docs/Kravbild.docx (antagande: 3,0–5,4 m i 300 mm-steg; Svenskt Trä anger inga handelslängder)
längd;;;;;;4800;docs/Kravbild.docx (antagande: 3,0–5,4 m i 300 mm-steg; Svenskt Trä anger inga handelslängder)
längd;;;;;;5100;docs/Kravbild.docx (antagande: 3,0–5,4 m i 300 mm-steg; Svenskt Trä anger inga handelslängder)
längd;;;;;;5400;docs/Kravbild.docx (antagande: 3,0–5,4 m i 300 mm-steg; Svenskt Trä anger inga handelslängder)
